,FullID,Year,avg.HSF,max.HSF,min.HSF,sd.HSF,se.HSF,avg.Lum,max.Lum,min.Lum,sd.Lum,se.Lum,avg.dblwall,max.dblwall,min.dblwall,sd.dblwall,se.dblwall
152,SJP 091 1995,1995,0.761276473,3.968859436,0.141301802,0.809698533,0.065460247,7.207743137,15.5452,0.9281,3.290259532,0.266001717,7.151631373,27.1461,1.1601,4.291683557,0.346962051
153,SJP 091 1996,1996,0.664643063,12.14990087,0.055000043,1.13729725,0.044471842,8.285618043,21.3457,1.1601,4.189859807,0.163836483,6.37359159,39.2112,1.0441,5.739450513,0.224430275
154,SJP 091 1997,1997,0.529325612,9.750862069,0.018748586,0.946572585,0.038903894,7.140452027,14.8492,0.232,3.303169192,0.135759418,4.234131926,39.0951,0.232,3.380256373,0.138927681
155,SJP 091 1998,1998,0.84604791,14.14990087,0.073528045,1.925539326,0.075642329,7.284954784,19.4896,0.6961,3.270641447,0.12848293,6.126643981,39.6752,0.464,6.343980447,0.249215089
156,SJP 091 1999,1999,0.358806088,3.590921558,0.098682047,0.41606534,0.017904601,8.228927222,16.7053,0.464,3.274328608,0.140904669,4.278570926,35.4988,1.5081,3.211961271,0.138220806
157,SJP 091 2000,2000,0.58371141,12.68715656,0.072113552,1.210537683,0.046084382,8.077611739,17.4014,0.464,3.471346913,0.132151918,5.109267536,38.9792,1.6241,4.510155839,0.171698698
158,SJP 091 2001,2001,0.463478464,7.374967675,0.092464015,0.636100945,0.024268765,6.913276856,16.9374,0.6961,3.094268284,0.118053698,4.212957933,36.1949,1.7401,3.025836623,0.115442868
159,SJP 091 2002,2002,0.372212296,3.000035917,0.093220153,0.423092097,0.019132886,7.854943763,18.3295,1.1601,2.95398765,0.133583939,4.548300613,36.5429,1.5081,4.089211686,0.184920545
160,SJP 091 2003,2003,0.713212104,9.14994397,0.100001916,0.895494471,0.041798102,6.256413943,15.0812,0.6961,3.331214988,0.1554878,5.192857298,38.9791,2.0882,4.492726754,0.209702527
161,SJP 091 2004,2004,0.469117924,9.143033064,0.064189779,0.687718519,0.029844442,8.075645574,23.6659,0.6961,3.784820275,0.16424721,4.675754802,37.123,1.1601,3.16483384,0.13734209
162,SJP 091 2005,2005,0.333035185,3.824971985,0.069766859,0.485580347,0.03599361,10.23813791,17.8654,1.3921,2.975792988,0.220580452,5.085263736,35.4988,1.2761,4.493034274,0.333045859
163,SP1 062 2006,2006,0.499195852,14.74903031,0.017855768,0.922895667,0.021106133,5.517358211,18.0975,0.232,3.674990083,0.084045067,2.9681784,39.0951,0.232,3.017391598,0.06900614
164,SP1 062 2007,2007,0.593058698,13.9999138,0.017240098,1.35180901,0.042641484,6.271660796,17.8654,0.232,3.140450793,0.099062427,3.476113234,36.6589,0.232,4.263041125,0.134473433
165,SP1 062 2008,2008,0.499230534,14.25107759,0.017855677,1.03325848,0.028602482,5.586760153,15.7773,0.232,2.976571909,0.082396948,3.124772261,33.9907,0.232,3.262650116,0.090316115
166,SP1 062 2009,2009,0.627701357,10.75028285,0.01851704,1.114236335,0.036596323,5.511880475,14.8492,0.232,2.962656665,0.097306412,3.702654153,39.9072,0.232,3.874114761,0.127242623
167,SP1 062 2010,2010,0.681856067,12.94991811,0.018748586,1.345985017,0.036949177,5.718290279,14.1531,0.232,3.006829917,0.082541698,4.45048425,39.3272,0.232,5.331669985,0.146361819
168,SP1 062 2011,2011,0.859868418,13.87511673,0.017240098,1.517924842,0.051403421,4.286756422,17.4014,0.232,2.289125423,0.077519568,4.669897936,39.2111,0.232,5.766110448,0.195265139
169,SP1 062 2012,2012,0.495826506,13.66585261,0.017240098,0.89039401,0.017132468,6.012983858,18.3295,0.232,3.337043688,0.064209546,3.417261088,39.9072,0.232,3.410611076,0.065625089
170,SP1 062 2013,2013,0.891584843,13.56211615,0.017240098,1.847058067,0.064899005,5.931656296,15.0812,0.464,3.062897744,0.107619257,4.520063704,39.5592,0.232,6.014906177,0.21134226
171,SP1 062 2014,2014,0.602209179,11.91588852,0.017855677,1.196129115,0.03454367,6.40363653,17.4014,0.232,3.595628638,0.103840134,3.515589074,38.2831,0.232,4.008063107,0.115751055
172,SP1 062 2015,2015,0.678799465,13.87511673,0.017240098,1.398022888,0.050025192,5.958213444,13.6891,0.464,3.203395952,0.114626519,3.787152241,38.6311,0.232,4.780011325,0.171042253
173,SP1 062 2016,2016,0.2277423,4.125026938,0.026313402,0.453959481,0.034414579,8.524684483,17.6334,0.6961,2.975021038,0.225535763,2.495533908,14.1531,0.232,2.451163087,0.185822194
174,SP1 073 2012,2012,0.616197469,14.3324235,0.017240098,1.351405927,0.03739506,5.678950153,13.2251,0.232,2.578695263,0.071355661,3.881592956,38.9791,0.232,4.7799156,0.132266128
175,SP1 073 2013,2013,0.466165704,14.25107759,0.017240098,0.951864107,0.021396959,6.50695528,18.5615,0.232,3.711905982,0.083439957,2.943718646,31.7865,0.232,2.769496964,0.062255539
176,SP1 073 2014,2014,0.463648056,11.08260307,0.016947791,0.936155177,0.028499492,7.010013902,17.8654,0.232,3.961086716,0.120587871,3.088054032,38.2831,0.232,3.615774331,0.110075482
177,SP1 073 2015,2015,0.318782115,3.964349486,0.016947791,0.533687431,0.025270832,8.738153139,19.2575,0.232,4.861089932,0.23017928,2.292346637,28.0743,0.232,2.024841308,0.095879015
178,SP1 087 2010,2010,0.557680319,4.624971228,0.020001719,0.486874602,0.012244786,25.96943485,73.3138,0.9775,14.1554918,0.356007402,19.04180424,39.5895,0.9776,6.876086112,0.172932003
179,SP1 087 2011,2011,0.41188399,12.5002046,0.019232434,0.497887926,0.012029648,25.2254202,74.2913,0.9775,15.78166881,0.381306531,14.53808243,39.5895,0.9776,8.077449262,0.195162134
180,SP1 087 2012,2012,0.195611493,2.222211487,0.020001719,0.179780078,0.006126889,45.08158955,86.0215,0.9775,14.49700091,0.494056469,14.51403635,39.1007,0.9776,5.512114999,0.187852377
181,SP1 088 2016,2016,8.084013842,467.7875,0.015623737,27.28718652,0.497944676,4.413299068,15.5452,0.232,3.126847621,0.057059643,24.7364024,237.007,0.232,52.17347803,0.952077108
182,SP1 110 2008,2008,0.539035209,14.04177142,0.017240098,1.137563098,0.033691711,5.462614561,16.9374,0.232,3.144601153,0.093135048,3.196145351,39.0951,0.232,4.366419565,0.129322186
183,SP1 110 2009,2009,0.4034038,8.09994828,0.017240098,0.869289851,0.047565424,6.802865269,17.4014,0.232,3.999581084,0.21884734,2.38616976,33.2946,0.232,3.390111503,0.185498648
184,SP1 110 2010,2010,0.494518768,11.00007183,0.01851704,1.046213942,0.051110896,7.237984726,16.7053,0.232,3.877999374,0.189452667,3.508233174,30.6264,0.232,4.062311032,0.198456881
185,SP1 110 2011,2011,0.479400188,14.49906623,0.017240098,0.937764682,0.023919767,6.78243188,18.0975,0.232,3.319976048,0.084683347,3.802105205,36.3109,0.232,4.143492719,0.105688965
186,SP1 110 2012,2012,0.570977025,12.79993104,0.018291145,1.247536053,0.035760849,5.844505588,16.7053,0.232,3.660593457,0.104931579,2.876007395,39.7912,0.232,3.277631904,0.093953917
187,SP1 110 2013,2013,0.619716234,14.50107759,0.017440462,1.510574632,0.103502868,5.693715493,18.7935,0.232,4.270157659,0.292586382,3.182343662,24.826,0.232,3.98738225,0.27321093
188,SP1 155 2016,2016,4.434546771,402.7823276,0.008927884,14.43061709,0.221852021,3.738675774,18.7935,0.232,2.809953554,0.043199391,14.2242511,237.3551,0.232,33.46426608,0.514469688
189,SP1 236 2016,2016,2.776111648,272.2719828,0.007074896,9.566234583,0.122063585,6.20424987,24.594,0.232,4.640509551,0.059212141,11.03124577,234.8028,0.232,22.83246401,0.291338497
190,SP1 237 2000,2000,0.91989366,14.91574486,0.017440462,1.744132084,0.061056836,4.812394853,19.7216,0.232,3.407469098,0.119285278,4.300443382,39.6751,0.232,5.550572816,0.194308914
191,SP1 237 2001,2001,0.788753735,14.4999138,0.017240098,1.546815103,0.039429302,6.026604288,15.7773,0.232,3.794167794,0.096715754,3.850918454,37.819,0.232,4.529644766,0.115463531
192,SP1 237 2002,2002,0.784000872,12.99913805,0.01851704,1.325688757,0.040872735,5.477136787,17.6334,0.232,3.717353105,0.114610906,3.909244392,36.7749,0.232,4.3710472,0.134765158
193,SP1 237 2003,2003,0.420062568,9.468994127,0.018748586,0.82405183,0.030050078,7.618665027,19.7216,0.232,3.933597803,0.143443553,3.44309016,38.051,0.232,3.576442908,0.130419454
194,SP1 237 2004,2004,0.560604582,7.291717549,0.019998276,1.068596582,0.041438398,6.146576391,14.3852,0.232,3.089408482,0.119802122,3.437360752,33.0627,0.232,3.857956835,0.149605149
195,SP1 237 2005,2005,0.62914801,12.50107759,0.017044119,1.108222704,0.028681188,5.278617749,16.4733,0.232,3.786327008,0.097991457,2.921516678,39.7912,0.232,3.432783581,0.08884163
196,SP1 237 2006,2006,0.372293104,7.375080813,0.017240098,0.613943715,0.022661076,5.764432834,13.6891,0.232,2.903915108,0.107185463,2.225191417,20.5337,0.232,1.820973626,0.067213363
197,SP1 237 2007,2007,0.881400058,12.91581669,0.02222052,1.618021748,0.07830156,5.567901874,12.993,0.232,3.577273708,0.173116408,3.829392974,37.8191,0.232,4.460191628,0.215843801
198,SP1 237 2008,2008,0.781482348,14.49906623,0.017240098,1.685919943,0.072018931,5.833915511,16.9374,0.232,3.866406225,0.165164688,2.984903285,31.2065,0.232,4.105348682,0.175371804
199,SP1 237 2009,2009,0.37141178,7.93729124,0.01851704,0.688349012,0.04406703,4.893310656,9.2807,0.232,2.074384542,0.132798862,2.283577049,17.4014,0.232,2.159831396,0.138269037
200,SP1 237 2010,2010,0.845033714,13.00086207,0.017240098,1.39951228,0.042526779,4.381145706,14.6172,0.232,2.984856977,0.09070042,3.820908587,37.935,0.232,4.626228176,0.140576531
201,SP1 237 2011,2011,0.378638721,11.08260307,0.017240098,0.791116702,0.025653717,6.336965615,14.6172,0.232,3.119369119,0.101152474,2.479371504,36.0789,0.232,2.462474428,0.079851204
202,SP1 237 2012,2012,0.906931543,14.69989656,0.018291145,1.684192612,0.052554092,4.378531646,15.3132,0.232,2.714908899,0.084716897,4.511815871,39.6752,0.232,5.698910501,0.17783065
203,SP1 237 2013,2013,0.531065151,13.12509877,0.017240098,0.972111671,0.020363105,5.958062747,17.8654,0.232,3.550455557,0.074372421,3.036044669,39.6752,0.232,2.97357641,0.062288366
204,SP1 237 2014,2014,0.442625427,10.69993966,0.017440462,0.861820365,0.027294125,5.952196289,19.2575,0.232,3.325446535,0.105317948,2.551611133,39.2111,0.232,3.350699559,0.10611772
205,SP1 237 2015,2015,0.3544476,8.19993966,0.016947791,0.791858898,0.025786474,7.070293107,16.4733,0.232,3.362312009,0.109491944,2.493035949,25.058,0.232,2.598743517,0.084626732
206,SP1 237 2016,2016,0.464579507,9.875862069,0.019998276,0.950484368,0.039432736,6.563214286,16.2413,0.232,3.16350264,0.131244205,3.209125818,38.9791,0.232,3.899139956,0.161763583
207,SP1 237 2017,2017,0.482115519,13.12460942,0.017044119,0.973430146,0.031515965,6.497253354,15.5452,0.232,2.967149818,0.096065022,3.342498847,37.471,0.232,3.504182157,0.113452086
208,SP1 252 2016,2016,5.646288594,373.5299569,0.019229282,18.96428674,0.378303421,4.452116992,13.4571,0.232,2.953632113,0.05891965,17.95774982,237.587,0.232,38.13587868,0.760742208
